title,description,location,City,features,date,price
"1390 Sft (East Facing),New 2 Bhk Flat for sale in vadavalli.","New apartment for sale in Vadavalli.  Built up area-1390 sqft.  2 BHK Flat- East facing.  Rate-64 Lakhs.(Rate includes Fully Furnished Interior Works,Car parking,Registration Charges,GST Tax,EB and Water Assessment,Property Tax Assessment)*Rate Negotiable...  modern kitchen & Interior work in all bed room.  Tv unit in Hall.  Kohler bathroom fittings.Electric Chimney.  light fittings.  false celling in hall,  Individual ups.  Centralised RO plant,  Genset Backup,  LIFT,  Gym,  community hall,  Individual car parking,  Intercom, 24Hours security  Near by Vadavalli bus stand.  for more information pls contact  Saravana Kumar-84899and12545.  (Rate Negotiable)  Note:  Direct sale from Building owners",Tamil Nadu,Coimbatore,2 Bds - 2 Ba - 1390 ft2,2021-12-20T16:14:32+0000,6401000
"Luxury Villa (2100sq ft  in 5cents) for sale in Mannuthy, Thrissur","A newly built (under construction) luxury modern villa (Approx 2100 sq ft in 5 cents) for sale in Mannuthy, Tens Vidhya Nagar. Architectural and interior design consultancy is done by profesional project management company. Modern Interior designing with Teak wood door/joineries and Jaguar fittings are the highlights of this project. This carefully planned elegant villa is in a no flood area with natural open well water source.   The secured high class lush residential area is within city limits. It is Hardly 60m to main road ( mannuthy-chirakkakode ) bus stop and 1.5 km from Thrissur – Palakad NH 47.  Facing : East  Vastu compliant : Yes  Landmark: Near Krishi Vigyan Kendra Mannuthy. Flooring : Vitrified tiles; Joineries/door: Teakwood ; Sanitary & CP Fittings: Jaguar; Electrical: 3 phase wiring;   Project completion by Apr 2022.   We pride ourselves in the quality of materials used. The feel inside the house will envy your near and dear ones. If you are looking for a luxury modern villa with practically planned interiors within the budget, Please contact (Whatsapp/Call).",Kerala,Thrissur,4 Bds - 4+ Ba - 2100 ft2,2021-12-24T10:51:35+0000,8700000
Argent sell,All documents clear,Maharashtra,Nagpur,1 Bds - 2 Ba - 600 ft2,2021-12-11T05:23:33+0000,1500000
2BHK FLAT NEAR AIRPORT ROAD,"2BHK FLAT  110GAJ 90% LOAN AVAILABLE 10% DOWN PAYMENT READY TO MOVE FULLY FURNISHED FLAT NEAR- SCHOOL, HOTEL MARKET, MALLS, HOSPITAL ETC.",Punjab,Kharar,2 Bds - 2 Ba - 1100 ft2,2022-01-05T17:16:13+0000,2690000
1BHK FLAT NEAR AIRPORT ROAD SECTOR 127 MOHALI,"1BHK FLAT NEAR AIRPORT ROAD READY TO MOVE GAITED SOCIETY 90% LOAN AVAILABLE 10% DOWN PAYMENT FAMILY ALREADY SHIFTED NEAR MARKET, SCHOOL, HOSPITAL AND MALLS",Punjab,Kharar,1 Bds - 1 Ba - 840 ft2,2022-01-05T17:16:13+0000,1780000
2bhk flat on kharar landran Road,1BHK STARTING  15.90LKH 2BHK STARTING  22.90LKH 3BHK STARTING  27.90LKH     24.90LKH  2BHK ON GOOD LOCATION SECTOR 127 MOHALI ON ROAD  Easily you can get rent 12k-14k of 2BHK *(100gaz) 10% only Down payment 90% LOAN   After PMAY,Punjab,Kharar,2 Bds - 2 Ba - 1040 ft2,2022-01-05T17:16:13+0000,2590000
SHOP+ROOM AT VERY REASONABLE PRICE..!,AS BUILDERS INTRODUCING NEWLY CONSTRUCTED SHOP FOR SALE..! BANK FINANCE FACILITY AVAILABLE..!  CONTACT- 7_8_3_7_4 _8_0_0_0_4  1 KM FROM WADALA CHOWNK NAKODAR ROAD..!  PRICE 18  LAC  SHOP HIGHLIGHTS-  DIMENSIONS-10.5×25 1 BEDROOM 1 WASHROOM 1 KITCHEN  CALL FOR MORE INFORMATION- 7_8_3_7_4_ 8_0_0_0_4,Punjab,Jalandhar,1 Bds - 1 Ba - 524 ft2,2022-01-05T17:16:12+0000,1800000
95 SQYARDS HOUSE VILLA AT VIDHANSABHA NAGAR DHABAS ROAD,NEAR VAISHALI NAGAR 3 BHK HOUSE AT VIDHANSABHA NAGAR DHABAS ROAD JDA APPROVED LOANABLE WITH THE FACILITIES AVAILABLE NEAR BY.  CONTACT US FOR FURTHER QUERY:-,Rajasthan,Jaipur,3 Bds - 3 Ba - 1750 ft2,2022-01-08T17:16:08+0000,5800000
Aluva ksrtc bus route  kunnuvazhi 8cent 2250Sqft,Kunnuvazhi Bus stop 100 Perumbavoor 5km 8cent 2250sqft 4bedroom with attached bathroom Good well water Price 85lakh Price negotiable Loan facilities available For more details call me,Kerala,Aluva,4 Bds - 4 Ba - 2250 ft2,2022-01-05T17:16:10+0000,8500000
Book 2Bhk & 3Bhk @ Manjri KHARADI Road (10 mins Drive to EON IT PARK),"Call for visit **One FIFTY plus Luxurious Township**  Lower Stamp duty & Property tax on Township homes Well connected to Kharadi IT park Biggest Carpet area Lower maintenance Better rental and capital appreciation on township homes Multiple professional sports coaching academies Bus stop, police station, hospital,  fire station within township",Maharashtra,Pune,2 Bds - 2 Ba - 1100 ft2,2022-01-05T17:16:11+0000,6800000
2 Room Set Very Prime Location Sector-127 Mohali,2BHK Furnished Flat In 19.70Lacs At Near Kharar Bus Stand Mohali  ∆ Cash Back Offers Available For Today Only...  Kharar to Chandigarh Highway Near Nijjar Road Near Airport Road  # 2.67Lacs Cash subsidy benefit  # 90% Loan Facility # 10% Down Payment       SPECIAL FEATURES  * Fall ceiling with LED lighting  * LED panel with lighting * Green Park * Gated Society * R.O + Chimney * High-speed Internet Access * WALLPAPER  * Safe Zone For Kids * Covered Parking  Contact For More Information,Punjab,Kharar,2 Bds - 2 Ba - 989 ft2,2022-01-05T17:16:09+0000,1970000
Big Size 2BHK Fully Furnished In 23.90Lacs At Kharar Mohali,2BHK Flat For Sale 23.90 Lacs At Near 200ft. Road in Gated Society Mohali  * Ready To Move * Fully Furnished * Gated Society * CCTV Camera Protection  * NO COMPROMISE TO CONSTRUCTION QUALITY *  * Best Quality Used All Construction Material  # Loan 90% Facility # Down Payment 10% # Booking Amount 21000 # 2.67Lacs Cash Subsidy Benefit Pmay  Contact Direct Builder,Punjab,Mohali,2 Bds - 2 Ba - 987 ft2,2022-01-05T17:16:10+0000,2390000
